id,address,total_spaces,geo_shape,lat,lon
225,Padre Barranco - Carlos Ruano Llopis (Pintor),20,"{""coordinates"": [-0.40114246019172434, 39.488107390420495], ""type"": ""Point""}",39.488107390420495,-0.40114246019172434
227,San Clemente - Hospital Arnau de Vilanova,20,"{""coordinates"": [-0.40293146422681364, 39.49024839844318], ""type"": ""Point""}",39.49024839844318,-0.40293146422681364
229,Aitana - Florista,16,"{""coordinates"": [-0.39480643424749534, 39.493104403991694], ""type"": ""Point""}",39.493104403991694,-0.39480643424749534
260,Traginers - Pedrapiquers,20,"{""coordinates"": [-0.4072175039832668, 39.45955629873093], ""type"": ""Point""}",39.45955629873093,-0.4072175039832668
268,"Plaza Luis Cano, 5",10,"{""coordinates"": [-0.41849350927046264, 39.50144544298018], ""type"": ""Point""}",39.50144544298018,-0.41849350927046264
272,Vicente la Roda - Ingeniero Fausto Elio,15,"{""coordinates"": [-0.33219023115385166, 39.48062333339468], ""type"": ""Point""}",39.48062333339468,-0.33219023115385166
274,San Francisco de Paula - Castell de Pop,15,"{""coordinates"": [-0.3331882593063431, 39.44807022576504], ""type"": ""Point""}",39.44807022576504,-0.3331882593063431
257,"Plaza Salvador Soria, 8",20,"{""coordinates"": [-0.38910445245389036, 39.44525124234686], ""type"": ""Point""}",39.44525124234686,-0.38910445245389036
259,Pio IX - Músico Cabanilles,20,"{""coordinates"": [-0.3930154660803912, 39.44546024514969], ""type"": ""Point""}",39.44546024514969,-0.3930154660803912
265,Alcasser - Poeta Alberto Lista,15,"{""coordinates"": [-0.40811749816977394, 39.470973337167365], ""type"": ""Point""}",39.470973337167365,-0.40811749816977394
273,Moraira - Alta del Mar,15,"{""coordinates"": [-0.3332722584595297, 39.450305232524904], ""type"": ""Point""}",39.450305232524904,-0.3332722584595297
145,Plaza Badajoz,15,"{""coordinates"": [-0.398395456094638, 39.48154736759815], ""type"": ""Point""}",39.48154736759815,-0.398395456094638
154,Pescadores - Progreso,15,"{""coordinates"": [-0.3295542305651281, 39.469876296228996], ""type"": ""Point""}",39.469876296228996,-0.3295542305651281
12,Calle Salvá - Calle Poeta Querol,20,"{""coordinates"": [-0.3740102862977963, 39.47196722343732], ""type"": ""Point""}",39.47196722343732,-0.3740102862977963
14,Huesca - Barón de Cárcer,20,"{""coordinates"": [-0.37972440222295445, 39.46896731649349], ""type"": ""Point""}",39.46896731649349,-0.37972440222295445
96,Blasco Ibañez - Yecla,21,"{""coordinates"": [-0.3482142912637639, 39.47355431688417], ""type"": ""Point""}",39.47355431688417,-0.3482142912637639
98,Justo y Pastor - Duque de Gaeta,15,"{""coordinates"": [-0.348442294427372, 39.469680303996114], ""type"": ""Point""}",39.469680303996114,-0.348442294427372
222,Maestro Rodrigo - Manuel de Falla,20,"{""coordinates"": [-0.39728245609920837, 39.47689335174765], ""type"": ""Point""}",39.47689335174765,-0.39728245609920837
10,Hospital - Horno del Hospital,15,"{""coordinates"": [-0.38261041097634013, 39.470816323984536], ""type"": ""Point""}",39.470816323984536,-0.38261041097634013
152,Reina Doña María - Cádiz,15,"{""coordinates"": [-0.3727053849231208, 39.460925286769694], ""type"": ""Point""}",39.460925286769694,-0.3727053849231208
230,Poeta Serrano Clavero - General Llorens,15,"{""coordinates"": [-0.38678440634001116, 39.49475040560395], ""type"": ""Point""}",39.49475040560395,-0.38678440634001116
87,Blasco Ibañez - Doctor Gómez Ferrer (Clínico),33,"{""coordinates"": [-0.36188033357859983, 39.47851834019109], ""type"": ""Point""}",39.47851834019109,-0.36188033357859983
234,Plaza Músico Espí,15,"{""coordinates"": [-0.3736443597891149, 39.49649940567526], ""type"": ""Point""}",39.49649940567526,-0.3736443597891149
236,Rio Segre - Rafael Company,15,"{""coordinates"": [-0.38227839001583847, 39.49506640496422], ""type"": ""Point""}",39.49506640496422,-0.38227839001583847
4,Plaza de la Virgen - Bailía,25,"{""coordinates"": [-0.37534238089458904, 39.476747340831494], ""type"": ""Point""}",39.476747340831494,-0.37534238089458904
6,Guillem de Castro - San Pedro Pascual,15,"{""coordinates"": [-0.38408341393871137, 39.472798331478145], ""type"": ""Point""}",39.472798331478145,-0.38408341393871137
71,Av. Puerto - Plaza Tribunal de les Aigües,20,"{""coordinates"": [-0.33353125122308164, 39.46038026686525], ""type"": ""Point""}",39.46038026686525,-0.33353125122308164
